bondID,yearmonth,Yield,DAS,Spread,YYYYMMDD,CompanyID,OptionType,isDomestic,Model,time2Marturity_mth,valEndDate,valEndDate>Maturity,12M_PD,S&P,Moody,Fitch,Worst,Rating,PDiR,GS,multiValuation,CouponChg,All,Period,TimeToMaturity,Is_Public_Issued
2080095.IB,202204,0.0316077473333423,0.05,-0.001899043464647,2022-04-22,b7fIQpGlcp@LGFV,Puttable,Domestic,LGFV,215.90160000000003,2040-04-14,False,22.231135374537,,,,,,BBB,0.0076048367402685,True,Change,All,After2018,MoreThan5Y,True
2080097.IB,202004,0.0737227888899925,0.016737637009557,0.0535266445899091,2020-04-24,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,59.868,2025-04-19,False,315.217818846106,,,,,,B_andWorse,0.05093147030314,True,Change,All,After2018,3-5Y,True
2080097.IB,202004,0.0739662747909239,0.0133546311193735,0.0501240240540205,2020-04-24,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,119.868,2030-04-18,False,315.217818846106,,,,,,B_andWorse,0.05093147030314,True,Change,All,After2018,MoreThan5Y,True
2080097.IB,202005,0.0735495187331288,0.0194562906871785,0.0534908856834879,2020-05-01,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,59.6712,2025-04-20,False,272.158968242259,,,,,,B_andWorse,0.0507311665671831,True,Change,All,After2018,3-5Y,True
2080097.IB,202005,0.0738285724769141,0.0159898187797664,0.0500101509214794,2020-05-01,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,119.6712,2030-04-19,False,272.158968242259,,,,,,B_andWorse,0.0507311665671831,True,Change,All,After2018,MoreThan5Y,True
2080097.IB,202005,0.0755866912320605,0.0179567948563197,0.0510223403354875,2020-05-29,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,58.7184,2025-04-19,False,272.158968242259,,,,,,B_andWorse,0.0507311665671831,True,Change,All,After2018,3-5Y,True
2080097.IB,202005,0.0754601238140444,0.0145590867459592,0.0475869625575165,2020-05-29,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,118.7184,2030-04-18,False,272.158968242259,,,,,,B_andWorse,0.0507311665671831,True,Change,All,After2018,MoreThan5Y,True
2080097.IB,202006,0.0788729629319333,0.0131479155441842,0.0503551885882508,2020-06-19,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,58.02720000000001,2025-04-19,False,321.806229908436,,,,,,B_andWorse,0.0519582754932989,True,Change,All,After2018,3-5Y,True
2080097.IB,202006,0.0780777646839115,0.010269567056076,0.0473845096209569,2020-06-19,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,118.0272,2030-04-18,False,321.806229908436,,,,,,B_andWorse,0.0519582754932989,True,Change,All,After2018,MoreThan5Y,True
2080097.IB,202006,0.0799463842167224,0.0130088351691334,0.0508253442869164,2020-06-26,HcaAqcrSgD@LGFV,Puttable,Domestic,LGFV,57.86280000000001,2025-04-21,False,321.806229908436,,,,,,B_andWorse,0.0519582754932989,True,Change,All,After2018,3-5Y,True
